"","2015","2015","2015","2014","2014","2014","2013","2013","2013","2012","2012","2012","2011","2011","2011","2010","2010","2010","2009","2009","2009","2008","2008","2008","2007","2007","2007","2006","2006","2006","2005","2005","2005","2004","2004","2004","2003","2003","2003","2002","2002","2002","2001","2001","2001","2000","2000","2000"
"","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)","Population with basic handwashing facilities at home (%)"
"Country","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total","Rural","Urban","Total"
"Afghanistan","29","64","38","29","64","38","29","64","38","29","64","38","29","64","38","29","64","38","29","64","37","29","64","37","29","64","37","29","64","37","29","64","37","","","","","","","","","","","","","","",""
"Algeria","73","88","84","73","88","83","73","88","83","73","88","83","73","88","83","73","88","83","73","88","83","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angola","15","37","25","15","37","24","15","37","24","15","37","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armenia","77","93","87","77","93","87","77","93","87","77","93","87","76","93","87","75","93","87","74","93","86","73","93","86","73","93","86","72","93","86","71","93","85","70","93","85","69","94","85","68","94","84","67","94","84","66","94","84"
"Bangladesh","31","58","40","31","58","40","31","58","40","31","58","40","31","58","39","31","58","39","31","58","39","31","58","39","31","58","39","31","58","38","31","58","38","","","","","","","","","","","","","","",""
"Barbados","86","90","88","86","90","88","86","90","88","86","90","88","86","90","88","86","90","88","86","90","88","86","90","88","","","","","","","","","","","","","","","","","","","","","","","",""
"Belize","86","88","87","85","86","85","83","85","84","82","84","82","80","82","81","78","81","79","77","79","78","77","79","78","77","79","78","77","79","78","77","79","78","","","","","","","","","","","","","","",""
"Benin","6","16","10","5","15","9","5","14","9","4","13","8","4","12","7","4","11","7","3","11","6","3","10","6","2","9","5","2","8","4","1","7","4","1","6","3","1","5","2","0","4","2","0","4","1","0","3","1"
"Bhutan","","","","75","87","80","75","87","80","75","87","80","75","87","80","75","87","79","75","87","79","75","87","79","75","87","79","75","87","79","","","","","","","","","","","","","","","","","",""
"Bosnia and Herzegovina","96","98","97","96","98","97","96","98","97","96","98","97","96","98","97","96","98","97","96","98","97","96","98","97","","","","","","","","","","","","","","","","","","","","","","","",""
"Burkina Faso","7","23","12","7","23","11","7","23","11","7","23","11","6","23","11","6","23","10","5","23","10","5","23","9","4","23","9","4","23","8","3","23","8","3","23","7","2","23","7","2","23","6","1","23","6","1","23","5"
"Burundi","","","","4","24","6","4","24","6","4","24","6","4","24","6","4","24","6","4","24","6","4","24","6","4","24","6","4","24","6","","","","","","","","","","","","","","","","","",""
"Cambodia","60","88","66","60","88","66","60","88","65","60","88","65","60","88","65","60","88","65","60","88","65","60","88","65","","","","","","","","","","","","","","","","","","","","","","","",""
"Cameroon","1","4","3","1","4","3","1","4","3","1","4","3","1","4","3","1","4","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Central African Republic","","","","13","22","17","13","22","17","13","22","17","13","22","17","13","22","16","13","22","16","13","22","16","13","22","16","13","22","16","","","","","","","","","","","","","","","","","",""
"Chad","2","18","6","2","18","6","2","18","6","2","18","6","2","18","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Comoros","15","18","16","15","18","16","15","18","16","15","18","16","15","18","16","15","18","16","15","18","16","15","18","16","","","","","","","","","","","","","","","","","","","","","","","",""
"Costa Rica","83","84","84","83","84","84","83","84","84","83","84","84","83","84","84","83","84","84","83","84","84","83","84","84","83","84","84","","","","","","","","","","","","","","","","","","","","",""
"Côte d'Ivoire","10","28","20","10","28","20","10","28","20","10","28","20","10","28","20","10","28","19","10","28","19","10","28","19","10","28","19","10","28","19","","","","","","","","","","","","","","","","","",""
"Cuba","76","88","85","76","88","85","76","88","85","76","88","85","76","88","85","76","88","85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Democratic Republic of the Congo","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","2","7","4","","","","","","","","","","","",""
"Dominican Republic","42","58","55","42","58","55","42","58","55","42","58","54","42","58","54","42","58","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ecuador","76","91","85","76","91","85","76","91","85","76","91","85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Egypt","85","92","88","83","92","87","81","92","85","78","91","84","76","91","82","74","90","81","72","90","79","69","89","78","67","89","77","65","89","75","62","88","74","60","88","72","58","87","71","56","87","69","53","87","68","51","86","66"
"El Salvador","86","92","90","86","92","90","86","92","90","86","92","90","86","92","90","86","92","90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Equatorial Guinea","20","26","23","20","26","23","20","26","23","20","26","23","20","26","23","20","26","23","20","26","23","20","26","23","20","26","23","","","","","","","","","","","","","","","","","","","","",""
"Eswatini","17","48","23","17","48","23","17","48","23","17","48","23","17","48","23","17","48","23","17","48","23","17","48","23","17","48","24","17","48","24","17","48","24","17","48","24","","","","","","","","","","","",""
"Ethiopia","0","5","1","0","5","1","0","5","1","0","5","1","0","5","1","0","5","1","0","5","1","0","5","1","0","5","1","0","","","0","","","0","","","0","","","0","","","0","","","0","",""
"Gambia","1","12","8","1","12","8","1","12","8","1","12","8","1","12","7","1","12","7","1","12","7","1","12","7","1","12","7","1","12","7","1","12","7","1","12","7","","","","","","","","","","","",""
"Ghana","11","25","19","11","24","18","11","24","18","11","23","17","10","22","16","10","21","16","10","20","15","9","20","14","9","19","14","9","18","13","8","17","12","8","16","12","8","15","11","7","15","11","7","14","10","7","14","10"
"Guatemala","70","83","77","70","83","77","70","83","77","70","83","77","70","83","77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea","7","12","9","7","12","9","7","12","9","7","12","9","7","12","9","7","12","9","7","12","9","7","12","9","7","12","9","7","12","9","","","","","","","","","","","","","","","","","",""
