Borough,Admin District,Geographical District,PE Works Cohort,DBN,School Level ,Student Enrollment,Full Time Licensed PE Teachers*,F Status PE Teachers*,Itinerant PE Teachers*,Sum of F Status and Itinerant,Total Part Time and Full Time Licensed PE Teachers*,Shared Licensed PE Teachers with Another School*,Ratio of Full Time Licensed PE Teachers to Students*
Manhattan,1,1,2,01M015,Elementary,143,1,,,,1,,1:143
Manhattan,1,1,2,01M019,Elementary,237,1,,,,1,,1:237
Manhattan,1,1,2,01M020,Elementary,500,1,,,,1,,1:500
Manhattan,1,1,2,01M034,K-8,363,1,,,,1,,1:363
Manhattan,1,1,2,01M063,Elementary,180,1,,,,1,,1:180
Manhattan,1,1,2,01M064,Elementary,216,1,,,,1,,1:216
Manhattan,1,1,2,01M110,Elementary,352,,,,,0,,0
Manhattan,1,1,2,01M134,Elementary,231,1,,,,1,,1:231
Manhattan,1,1,2,01M137,Elementary,131,,,,,0,,0
Manhattan,1,1,2,01M140,K-8,344,1,,,,1,,1:344
Manhattan,1,1,2,01M142,Elementary,316,,,,,0,,0
Manhattan,1,1,2,01M184,K-8,615,2,,,,2,,1:308
Manhattan,1,1,2,01M188,K-8,403,1,,,,1,,1:403
Manhattan,1,1,2,01M292,Secondary School,151,3,,,,3,,1:50
Manhattan,1,1,2,01M301,Junior High-Intermediate-Middle,147,1,,,,1,,1:147
Manhattan,1,1,2,01M315,Elementary,260,,,,,0,,0
Manhattan,1,1,2,01M332,Junior High-Intermediate-Middle,104,,,,,0,,0
Manhattan,1,1,2,01M345,Junior High-Intermediate-Middle,98,1,,,,1,,1:98
Manhattan,1,1,2,01M361,Elementary,223,,,,,0,,0
Manhattan,1,1,2,01M363,Elementary,282,1,,,,1,,1:282
Manhattan,1,1,2,01M364,Elementary,291,,,,,0,,0
Manhattan,1,1,2,01M378,Junior High-Intermediate-Middle,252,1,,,,1,,1:252
Manhattan,1,1,2,01M448,High School,315,1,,,,1,,1:315
Manhattan,1,1,2,01M450,Secondary School,664,,,,,0,,0
Manhattan,1,1,2,01M458,High School,176,,1,,1,1,,0
Manhattan,1,1,2,01M509,High School,252,2,,,,2,,1:126
Manhattan,1,1,2,01M515,High School,429,1,,,,1,,1:429
Manhattan,1,1,2,01M539,K-12 All Grades,1736,6,,,,6,,1:289
Manhattan,1,1,2,01M650,High School,160,1,,,,1,,1:160
Manhattan,1,1,2,01M696,High School,532,3,,,,3,,1:177
Manhattan,1,1,2,01M839,Junior High-Intermediate-Middle,364,1,,,,1,,1:364
Manhattan,2,2,3,02M001,Elementary,354,1,,,,1,,1:354
Manhattan,2,2,3,02M002,Elementary,615,,,,,0,,0
Manhattan,2,2,3,02M003,Elementary,715,,,,,0,,0
Manhattan,2,2,3,02M006,Elementary,685,1,,,,1,,1:685
Manhattan,2,2,3,02M011,Elementary,887,2,,,,2,,1:444
Manhattan,2,2,3,02M033,Elementary,581,1,,,,1,,1:581
Manhattan,2,2,3,02M040,Elementary,581,,,,,0,,0
Manhattan,2,2,3,02M041,Elementary,674,1,,,,1,,1:674
Manhattan,2,2,3,02M042,Elementary,671,,,,,0,,0
Manhattan,2,2,3,02M047,High School,178,1,,,,1,,1:178
Manhattan,2,2,3,02M051,Elementary,303,,1,,1,1,,0
Manhattan,2,2,3,02M059,Elementary,555,,,,,0,,0
Manhattan,2,2,3,02M077,Elementary,344,,,,,0,,0
Manhattan,2,2,3,02M089,Elementary,377,,,1,1,1,Yes,0
Manhattan,2,2,3,02M104,Junior High-Intermediate-Middle,1089,3,1,,1,4,,1:363
Manhattan,2,2,3,02M111,Elementary,331,2,,,,2,,1:166
Manhattan,2,2,3,02M114,Junior High-Intermediate-Middle,438,1,,,,1,,1:438
Manhattan,2,2,3,02M116,Elementary,558,1,,,,1,,1:558
Manhattan,2,2,3,02M124,Elementary,729,,,,,0,,0
Manhattan,2,2,3,02M126,K-8,714,1,,,,1,,1:714
Manhattan,2,2,3,02M130,Elementary,942,,,,,0,,0
Manhattan,2,2,3,02M131,Junior High-Intermediate-Middle,402,1,,,,1,,1:402
Manhattan,2,2,3,02M135,High School,236,1,1,,1,2,,1:236
Manhattan,2,2,3,02M139,High School,269,1,,,,1,Yes,1:269
Manhattan,2,2,3,02M150,Elementary,161,,,,,0,,0
Manhattan,2,2,3,02M151,Elementary,526,1,,,,1,,1:526
Manhattan,2,2,3,02M158,Elementary,674,1,,,,1,,1:674
Manhattan,2,2,3,02M167,Junior High-Intermediate-Middle,1316,2,,,,2,,1:658
Manhattan,2,2,3,02M177,Junior High-Intermediate-Middle,132,1,,,,1,,1:132
Manhattan,2,2,3,02M183,Elementary,536,,,,,0,,0
Manhattan,2,2,3,02M198,Elementary,431,1,,,,1,,1:431
Manhattan,2,2,3,02M212,Elementary,339,1,,,,1,,1:339
Manhattan,2,2,3,02M217,K-8,508,1,,,,1,,1:508
Manhattan,2,2,3,02M225,K-8,277,,,,,0,,0
Manhattan,2,2,3,02M234,Elementary,691,,,,,0,,0
Manhattan,2,2,3,02M255,Junior High-Intermediate-Middle,374,1,,,,1,,1:374
Manhattan,2,2,3,02M260,Secondary School,370,1,,,,1,,1:370
Manhattan,2,2,3,02M267,Elementary,332,1,,,,1,,1:332
Manhattan,2,2,3,02M276,K-8,855,2,,,,2,,1:855
Manhattan,2,2,3,02M280,High School,180,,1,,1,1,,0
Manhattan,2,2,3,02M281,Elementary,109,,,,,0,,0
Manhattan,2,2,3,02M282,High School,191,1,,,,1,,1:191
Manhattan,2,2,3,02M288,High School,390,1,,,,1,,1:390
Manhattan,2,2,3,02M289,Junior High-Intermediate-Middle,287,,,1,1,1,Yes,0
Manhattan,2,2,3,02M290,Elementary,610,,,,,0,,0
Manhattan,2,2,3,02M294,High School,326,1,,,,1,,1:326
Manhattan,2,2,3,02M296,High School,373,2,,,,2,,1:187
Manhattan,2,2,3,02M298,High School,464,1,,,,1,,1:464
Manhattan,2,2,3,02M300,High School,365,1,,,,1,,1:365
Manhattan,2,2,3,02M303,High School,371,1,,,,1,,1:371
Manhattan,2,2,3,02M305,High School,301,2,,,,2,,1:151
Manhattan,2,2,3,02M308,High School,329,1,,,,1,,1:329
Manhattan,2,2,3,02M312,Junior High-Intermediate-Middle,546,2,,,,2,,1:273
Manhattan,2,2,3,02M313,High School,189,1,,,,1,,1:189
Manhattan,2,2,3,02M316,High School,318,,,,,0,,0
Manhattan,2,2,3,02M340,Elementary,83,,,,,0,,0
Manhattan,2,2,3,02M343,Elementary,231,1,,,,1,,1:231
Manhattan,2,2,3,02M347,K-8,124,,,,,0,,0
Manhattan,2,2,3,02M374,High School,501,3,,,,3,,1:167
Manhattan,2,2,3,02M376,High School,449,1,,,,1,,1:449
Manhattan,2,2,3,02M392,High School,403,2,,,,2,,1:202
Manhattan,2,2,3,02M393,High School,424,2,,,,2,Yes,1:212
Manhattan,2,2,3,02M394,High School,209,1,,,,1,,1:209
Manhattan,2,2,3,02M397,K-8,394,1,,,,1,,1:394
Manhattan,2,2,3,02M399,High School,425,3,,,,3,,1:142
Manhattan,2,2,3,02M400,High School,1198,5,,,,5,,1:240
Manhattan,2,2,3,02M407,Secondary School,479,1,,,,1,,1:479
Manhattan,2,2,3,02M408,Secondary School,532,,,,,0,,0
Manhattan,2,2,3,02M411,High School,445,1,,,,1,,1:445
Manhattan,2,2,3,02M412,High School,523,1,,,,1,,1:523
Manhattan,2,2,3,02M413,Secondary School,726,2,,,,2,,1:363
Manhattan,2,2,3,02M414,High School,443,1,,,,1,,1:443
Manhattan,2,2,3,02M416,High School,550,3,,,,3,,1:183
Manhattan,2,2,3,02M418,High School,633,2,,,,2,,1:317
Manhattan,2,2,3,02M419,High School,335,1,,,,1,,1:335
Manhattan,2,2,3,02M420,High School,1634,5,,,,5,,1:327
Manhattan,2,2,3,02M422,Secondary School,641,3,,,,3,,1:214
Manhattan,2,2,3,02M425,High School,611,1,,,,1,,1:611
Manhattan,2,2,3,02M427,High School,257,2,,,,2,,1:129
Manhattan,2,2,3,02M432,High School,266,1,,,,1,,1:266
Manhattan,2,2,3,02M437,High School,476,2,,,,2,,1:238
Manhattan,2,2,3,02M438,High School,306,3,,,,3,,1:102
Manhattan,2,2,3,02M439,High School,431,2,,,,2,,1:216
Manhattan,2,2,3,02M442,K-8,149,,,,,0,,0
Manhattan,2,2,3,02M449,High School,428,,,,,0,,0
Manhattan,2,2,3,02M459,High School,321,1,,,,1,,1:321
Manhattan,2,2,3,02M475,High School,3307,10,,,,10,,1:331
Manhattan,2,2,3,02M489,High School,705,2,,,,2,,1:353
Manhattan,2,2,3,02M500,High School,268,1,,,,1,,1:268
Manhattan,2,2,3,02M507,High School,456,2,,,,2,Yes,1:228
Manhattan,2,2,3,02M519,High School,495,1,,,,1,,1:495
Manhattan,2,2,3,02M520,High School,492,3,,,,3,,1:164
Manhattan,2,2,3,02M527,Elementary,221,,,,,0,,0
Manhattan,2,2,3,02M529,High School,603,2,,,,2,,1:302
Manhattan,2,2,3,02M531,High School,243,,,,,0,,0
Manhattan,2,2,3,02M533,High School,405,2,,,,2,,1:203
Manhattan,2,2,3,02M534,High School,436,1,,,,1,,1:436
Manhattan,2,2,3,02M542,High School,496,1,,,,1,,1:496
Manhattan,2,2,3,02M543,High School,388,1,1,,1,2,,1:388
Manhattan,2,2,3,02M544,High School,217,,,,,0,,0
Manhattan,2,2,3,02M545,High School,413,1,,,,1,,1:413
Manhattan,2,2,3,02M546,High School,445,2,,,,2,,1:223
Manhattan,2,2,3,02M550,High School,365,1,,,,1,,1:365
Manhattan,2,2,3,02M551,High School,398,2,,,,2,,1:199
Manhattan,2,2,3,02M560,High School,432,,,,,0,,0
Manhattan,2,2,3,02M565,High School,142,,,,,0,,0
Manhattan,2,2,3,02M570,High School,195,1,,,,1,,0
Manhattan,2,2,3,02M575,High School,508,3,,,,3,,1:169
Manhattan,2,2,3,02M580,High School,484,3,,,,3,,1:161
Manhattan,2,2,3,02M586,High School,37,1,,,,1,,1:37
Manhattan,2,2,3,02M600,High School,1734,5,,,,5,,1:347
Manhattan,2,2,3,02M605,High School,194,,,,,0,,0
Manhattan,2,2,3,02M615,High School,415,1,,,,1,,1:415
Manhattan,2,2,3,02M625,High School,94,,,,,0,,0
Manhattan,2,2,3,02M630,High School,1404,5,,,,5,,1:281
Manhattan,2,2,3,02M655,Secondary School,553,3,,,,3,,1:184
Manhattan,2,2,3,02M896,Junior High-Intermediate-Middle,383,1,,,,1,,1:383
Manhattan,2,2,3,02M933,Junior High-Intermediate-Middle,151,1,,,,1,,1:151
Manhattan,3,3,2,03M009,Elementary,581,,,,,0,,0
Manhattan,3,3,2,03M054,Junior High-Intermediate-Middle,836,1,,,,1,,1:836
Manhattan,3,3,2,03M075,Elementary,549,1,,,,1,,1:549
Manhattan,3,3,2,03M076,K-8,433,,,,,0,,0
Manhattan,3,3,2,03M084,Elementary,499,,,,,0,,0
Manhattan,3,3,2,03M087,Elementary,823,,,,,0,,0
